x_2018,y_2018,x_2019,y_2019,Fecha_2018,Fecha_2019,Real_2018,Prevista_2018,Programada_2018,Real_2019,Prevista_2019,Programada_2019,Mes,Dia,Temp_2018,Prec_2018,Prec_2019,Temp_2019
27,2,28,2,2018-03-05,2019-03-05,31526.0,31495.6875,31480.58333333333,29636.47916666667,29641.60416666667,29630.54166666667,3,5,9.435897435897434,5.579487179487179,6.682051282051282,12.474358974358974
28,2,29,2,2018-03-06,2019-03-06,32220.0,32201.638888888887,32136.5,30448.152777777777,30450.18055555556,30352.70833333333,3,6,9.034210526315789,2.9315789473684206,6.774358974358974,11.364102564102565
29,2,30,2,2018-03-07,2019-03-07,31880.0,31888.673611111113,31802.75,30049.222222222223,30084.375,30099.70833333333,3,7,8.584615384615384,3.858974358974358,2.3820512820512825,9.538461538461538
30,2,31,2,2018-03-08,2019-03-08,31588.0,31801.027777777777,31559.66666666667,29553.11805555556,30070.08333333333,29567.5,3,8,11.066666666666665,2.6564102564102563,0.28205128205128205,10.484615384615385
31,2,32,2,2018-03-09,2019-03-09,31206.0,31150.58333333333,31044.41666666667,26391.034722222223,26457.86805555556,26333.20833333333,3,9,13.076923076923073,9.976923076923075,0.03846153846153846,12.251282051282054
32,2,33,2,2018-03-10,2019-03-10,27549.0,27605.61805555556,27459.79166666667,24218.090277777777,24231.52083333333,24117.70833333333,3,10,13.046153846153846,10.428205128205128,0.22307692307692306,13.284615384615382
33,2,27,3,2018-03-11,2019-03-11,25856.0,25902.277777777777,25707.20833333333,28552.55555555556,28534.75,28432.83333333333,3,11,10.65897435897436,3.77948717948718,0.046153846153846156,12.866666666666664
27,3,28,3,2018-03-12,2019-03-12,30668.0,30701.763888888887,30469.41666666667,29327.66666666667,29319.99305555556,29254.33333333333,3,12,10.782051282051283,1.8846153846153846,1.0205128205128207,12.68974358974359
28,3,29,3,2018-03-13,2019-03-13,31209.0,31199.35416666667,31182.25,29759.05555555556,29737.27083333333,29807.91666666667,3,13,11.907692307692304,0.7794871794871795,1.0358974358974362,10.482051282051284
29,3,30,3,2018-03-14,2019-03-14,31455.0,31490.06944444444,31454.125,29696.6875,29691.222222222223,29665.20833333333,3,14,11.600000000000001,13.346153846153847,0.09487179487179488,10.6
30,3,31,3,2018-03-15,2019-03-15,31200.0,31252.701388888887,31165.95833333333,29139.38194444444,29159.402777777777,29182.91666666667,3,15,10.371794871794869,3.7256410256410253,0.0,12.761538461538462
31,3,32,3,2018-03-16,2019-03-16,30794.0,30833.152777777777,30778.45833333333,26000.45138888889,26012.76388888889,25982.79166666667,3,16,8.884615384615387,3.0487179487179494,0.5435897435897435,13.738461538461543
32,3,33,3,2018-03-17,2019-03-17,28232.0,28271.902777777777,28168.25,24176.44444444444,24214.57638888889,24114.04166666667,3,17,8.205263157894738,7.915384615384617,0.5512820512820513,12.064102564102566
33,3,27,4,2018-03-18,2019-03-18,26067.0,26117.86111111111,26008.95833333333,27985.99305555556,28001.95138888889,28025.79166666667,3,18,8.884615384615387,2.492307692307692,1.284615384615385,10.171794871794871
27,4,28,4,2018-03-19,2019-03-19,30908.0,30869.77083333333,30843.20833333333,27794.64583333333,27832.23611111111,27714.625,3,19,7.82820512820513,7.251282051282053,0.7384615384615385,10.4
28,4,29,4,2018-03-20,2019-03-20,32978.0,32980.708333333336,32907.833333333336,29709.79166666667,29720.20833333333,29592.95833333333,3,20,6.274358974358975,0.8256410256410255,0.14615384615384613,9.85897435897436
29,4,30,4,2018-03-21,2019-03-21,32753.0,32823.34722222222,32820.333333333336,29895.44444444444,29871.402777777777,29916.5,3,21,6.784615384615385,0.005128205128205128,0.02564102564102564,10.120512820512822
30,4,31,4,2018-03-22,2019-03-22,32320.0,32325.43055555556,32249.875,29565.43055555556,29574.701388888887,29588.29166666667,3,22,7.084615384615385,0.358974358974359,0.0,11.248717948717946
31,4,32,4,2018-03-23,2019-03-23,32197.0,32205.93055555556,32148.5,26374.47916666667,26415.9375,26291.70833333333,3,23,9.107692307692307,7.4,0.0,12.555263157894737
32,4,33,4,2018-03-24,2019-03-24,29083.0,29021.14583333333,29061.75,24153.159722222223,24134.4375,24057.125,3,24,8.394871794871795,5.412820512820512,0.09487179487179487,13.541025641025644
